incident_id,crime_type,district,city,state,address,latitude,longitude,incident_datetime,officer_id,officer_first_name,officer_last_name,badge_number,suspect_id,suspect_first_name,suspect_last_name,suspect_age,suspect_gender,suspect_race,victim_id,victim_first_name,victim_last_name,victim_age,victim_gender,victim_phone,weapon_used,severity,case_status,resolution,num_arrests,property_loss_usd,reported_online,notes
INC003264,Drug Offense,Central,Fairview,Az,8650 Elm Blvd,46.424282,-120.996678,2018-09-09 02:11:36,OFF0111,Donna,Thompson,4688,Not Provided,Not Provided,Not Provided,46.0,Unknown,Unknown,VIC00084,Anthony,Nguyen,35.0,Unknown,855-624-8658,Bat,Low,Open,Unknown,-3.5,41738.8,Yes,No Notes
INC003052,Burglary,East,Hillcrest,Oh,5420 River Rd,47.020966,-83.072251,2020-07-04 13:31:15,OFF0104,James,Taylor,5567,SUS00783,Anthony,Martin,33.0,Male,Asian,VIC00960,Mark,Taylor,55.0,Male,832-278-8736,Rifle,Critical,Unknown,Warning,2.0,-20649.585000000006,No,Incident at 5420 River Rd. Officer responded at scene.
INC000524,Theft,Northeast,Centerville,Fl,6121 Oak Ave,44.872436,-106.852051,2023-07-30 09:05:34,OFF0014,Joseph,Smith,4335,SUS00236,Thomas,Jones,91.5,Female,Hispanic,VIC00569,Robert,Scott,-28.5,Male,655-760-3556,Knife,Critical,Resolved,Unknown,2.0,3201.56,1,Incident at 6121 Oak Ave. Officer responded at scene.
INC000812,Drug Offense,North,Riverside,Ca,5556 River Rd,47.561353,-85.069404,2020-11-26 07:15:19,OFF0133,emily,Nguyen,8079,SUS00606,Chris,Garcia,21.0,Male,Asian,VIC00071,Daniel,Jackson,82.0,Female,628-122-3246,Blunt Object,High,Open,No Arrest,2.0,41473.0,YES,No Notes
INC003999,Armed Robbery,Southeast,Centerville,Pa,6637 Lincoln St,25.262347,-73.445871,2021-11-05 17:21:18,OFF0097,Ashley,Davis,6651,SUS00776,Joseph,Brown,18.0,Male,Black,VIC00676,Linda,Nguyen,49.0,Female,897-102-9006,Knife,Unknown,Pendng,Unknown,3.0,23759.76,1,Incident at 6637 Lincoln St. Officer responded at scene.
INC003972,Arson,Southwest,Centerville,Il,3221 Cedar Lane,25.80811,-106.368949,2022-10-07 17:15:25,OFF0141,Charles,Nguyen,7634,Not Provided,Not Provided,Not Provided,46.0,Unknown,Unknown,VIC00846,Donna,Jackson,82.0,Female,924-985-8530,Unknown,Critical,Pending,Warning Issued,4.0,23759.76,yes,Incident at 3221 Cedar Lane. Officer responded at scene.
INC000949,Abduction,North,Maplewood,Ca,5783 Main St,40.614362,-80.606867,2024-11-23 19:30:48,OFF0020,Susan,Walker,2599,SUS00636,Richard,Wright,57.0,Unknown,Unknown,VIC00228,Mary,Walker,49.0,Male,Not Provided,Unknown,Medium,Unknown,No Arrest,2.0,31931.65,Unknown,Incident at 5783 Main St. Officer responded at scene.
INC002839,Graffiti,East,Hillcrest,Fl,5563 Lincoln St,31.366741,-81.476181,2018-08-26 04:50:54,OFF0050,John,Smith,9830,SUS00294,Michael,Jones,51.0,Female,Hispanic,VIC00850,David,Williams,49.0,Male,Not Provided,Bat,Medium,Closed,Warning Issued,0.0,6546.79,Unknown,Incident at 5563 Lincoln St. Officer responded at scene.
INC002859,Trespassing,Midtown,Maplewood,Pa,1522 Lincoln St,43.213574,-112.532649,2019-10-15 08:23:45,OFF0020,Joseph,Walker,6621,SUS00207,Mary,Brown,42.0,Female,Hispanic,VIC00225,Patricia,Green,12.0,Male,527-108-7397,Knife,Low,Closed,Dismissed,5.0,26845.31,1,Incident at 1522 Lincoln St. Officer responded at scene.
INC004651,Cybercrime,East,Oakdale,Oh,3806 Washington Ave,39.701184,60.9112,2020-03-20 14:28:36,OFF0059,Sarah,Martin,5314,SUS00385,James,Young,35.0,Male,Black,VIC00777,Donna,Young,55.0,Female,701-395-6824,Firearm,Critical,Open,Warning,3.0,2167.35,no,Incident at 3806 Washington Ave. Officer responded at scene.
INC003793,Armed Robbery,South,Lakewood,Ca,3852 River Rd,35.044905,-83.999129,2019-01-04 05:16:46,OFF0064,Jessica,Walker,9763,SUS00630,Donna,Harris,46.0,Male,Black,VIC00208,Richard,Anderson,49.0,Male,Not Provided,Gun,Medium,Under Investigation,Arrest Made,3.0,38573.92,NO,Incident at 3852 River Rd. Officer responded at scene.
INC004688,Trespassing,West,Lakewood,Pa,1550 Sunset Blvd,25.112438,-97.442801,2021-08-28 15:30:49,OFF0094,Anthony,Moore,2483,SUS00220,Robert,Wright,58.0,Other,Unknown,VIC00521,Mark,Harris,33.0,Female,294-211-8872,Bat,Medium,Open,Arres Made,1.0,8534.94,True,Incident at 1550 Sunset Blvd. Officer responded at scene.
INC003745,Assault,Central,Riverside,Ny,2767 River Rd,28.234244,-94.65644,2018-01-24 15:33:18,OFF0018,James,Lee,5491,SUS00769,Donna,Thompson,54.0,Unknown,White,VIC00116,Thomas,Miller,74.0,Female,762-638-3161,Firearm,Low,Resolved,Arrest Made,2.0,24970.35,0,Incident at 2767 River Rd. Officer responded at scene.
INC002571,Sexual Assault,North,Centerville,Az,4669 Washington Ave,25.148272,-93.057116,2023-05-28 05:34:09,OFF0144,Michelle,Flores,4616,SUS00376,James,Thompson,61.0,Male,Hispanic,VIC00147,Susan,Nguyen,127.5,Other,Not Provided,Knife,Unknown,Unknown,Unknown,3.0,23759.76,No,Incident at 4669 Washington Ave. Officer responded at scene.
INC002592,Fraud,Midtown,Riverside,Pa,3360 Sunset Blvd,25.974863,-96.956091,2020-08-15 12:17:24,OFF0082,Anthony,Thompson,4313,SUS00733,Karen,Green,58.0,Female,Black,VIC00333,Barbara,Johnson,64.0,Male,(806) -68-2-4246,Blunt Object,Medium,Closed,Warning,3.0,23759.76,NO,Incident at 3360 Sunset Blvd. Officer responded at scene.
INC003754,Theft,South,Maplewood,Fl,120 Oak Ave,34.995351,-74.532818,2020-05-17 13:46:21,OFF0017,EMILY,Brown,2857,SUS00615,Jennifer,Martin,57.0,Male,Asian,VIC00223,David,Hill,41.0,Male,771-406-4573,Unknown,Critical,Pending,No Arrest,0.0,483.77,Yes,Incident at 120 Oak Ave. Officer responded at scene.
INC003891,Drug Offense,East,Centerville,Oh,393 Elm Blvd,108.6542,-89.43987,2018-11-28 21:17:46,OFF0008,David,Moore,3817,SUS00378,Sarah,White,31.0,Female,White,VIC00734,Carol,Wright,69.0,Male,486-955-5798,Gun,Medium,Investgation,Arres Made,2.0,29148.65,NO,No Notes
INC001824,Trespassing,West,Fairview,Pa,2876 River Rd,29.118935,-89.958829,2019-07-14 02:11:20,OFF0069,John,Anderson,2450,SUS00248,Ashley,Johnson,20.0,Male,Other,VIC00621,Joseph,Brown,36.0,Unknown,917-543-5246,Blunt Object,High,Closed,Unknown,0.0,25983.21,NO,No Notes
INC003739,Theft,East,Springfield,Nc,6343 Sunset Blvd,44.749794,-73.947406,2021-07-18 12:36:42,OFF0031,MICHELLE,Martin,9056,SUS00344,Ashley,Moore,63.0,Male,Hispanic,VIC00171,Daniel,Taylor,43.0,Male,Not Provided,Unknown,Unknown,Investgation,Warning Issued,4.0,41970.69,0,No Notes
INC004507,Arson,West,Maplewood,Nc,3637 Sunset Blvd,36.9671225,-71.382964,2020-06-19 16:28:10,OFF0129,Sarah,Torres,9283,SUS00485,Susan,Young,42.0,Female,White,VIC00335,Charles,Martin,39.0,Male,983-275-9311,Rifle,Unknown,Open,Arrest Made,4.0,9134.49,yes,Incident at 3637 Sunset Blvd. Officer responded at scene.
INC002064,Homicide,Central,Lakewood,Nc,4740 Washington Ave,44.042164,-94.65644,2021-07-15 16:16:52,OFF0062,Donna,Moore,3585,SUS00784,Joseph,Jones,32.0,Male,Hispanic,VIC00095,James,Martin,33.0,Female,769-824-7668,Bat,Critical,Unknown,No Arrest,4.0,42488.18,yes,Incident at 4740 Washington Ave. Officer responded at scene.
INC000769,Domestic Violence,West,Lakewood,Tx,2829 Main St,37.746236,-75.794667,2020-04-01 01:39:34,OFF0141,Barbara,Jones,7093,SUS00038,Nancy,Thomas,63.0,Female,Unknown,VIC00620,Matthew,White,74.0,Female,367-133-2010,Blunt Object,Low,Closed,Unknown,2.0,6820.75,1,No Notes
INC000900,Trespassing,South,Oakdale,Fl,9483 Park Rd,26.435438,-94.65644,2023-07-11 10:36:57,OFF0097,Patricia,Anderson,1920,Not Provided,Not Provided,Not Provided,46.0,Unknown,Unknown,VIC00863,Richard,Brown,60.0,Unknown,(255) -32-5-8101,Unknown,Low,Closed,Arres Made,0.0,13459.71,No,Incident at 9483 Park Rd. Officer responded at scene.
INC001193,Trespassing,North,Lakewood,Oh,4072 Oak Ave,40.228054,-75.920794,2019-07-28 16:30:31,OFF0122,Jennifer,Anderson,5567,SUS00293,Charles,Torres,38.0,Male,Unknown,VIC00013,James,White,83.0,Male,Not Provided,Hands,Medium,Open,Warning,3.0,7425.53,False,Incident at 4072 Oak Ave. Officer responded at scene.
INC004887,Cybercrime,North,Riverside,Ga,1646 Oak Ave,34.412742,-85.854041,2024-01-29 18:13:58,OFF0028,Daniel,Flores,8763,SUS00238,Joseph,Moore,50.0,Unknown,Hispanic,VIC00699,Daniel,Nguyen,17.0,Female,624-369-6990,Unknown,Unknown,Open,Warning,2.0,14830.28,no,Incident at 1646 Oak Ave. Officer responded at scene.
INC000015,Assault,West,Riverside,Ga,3034 Park Rd,29.976847,-96.821673,2024-03-01 04:58:24,OFF0135,Nancy,Moore,2647,SUS00199,Susan,Garcia,34.0,Male,Unknown,VIC00547,Mary,Johnson,80.0,Female,914-229-9042,Hands/Feet,High,Open,Arres Made,2.0,23469.85,0,Incident at 3034 Park Rd. Officer responded at scene.
INC002728,Burglary,West,Oakdale,Pa,6010 Cedar Lane,38.426433,-119.113425,2020-04-16 08:11:15,OFF0132,William,Scott,5151,SUS00293,Michael,Allen,35.0,Male,Other,VIC00765,Barbara,Green,49.0,Male,305-811-4555,Unknown,Low,Resolved,Unknown,0.0,3381.3,1,Incident at 6010 Cedar Lane. Officer responded at scene.
INC004684,Homicide,Northeast,Maplewood,Ga,6859 Oak Ave,34.916346,-83.935027,2020-09-09 11:34:44,OFF0078,Emily,Jackson,3050,SUS00546,Carol,Johnson,21.0,Male,Hispanic,VIC00905,Robert,Johnson,21.0,Female,548-542-9323,Blunt Object,Low,Open,No Arrest,4.0,21921.32,yes,Incident at 6859 Oak Ave. Officer responded at scene.
INC002900,Arson,Southwest,Springfield,Ga,5328 Elm Blvd,39.803413,-103.317577,2022-06-14 08:43:36,OFF0101,Barbara,Green,4082,SUS00527,Jessica,Moore,34.0,Male,Unknown,VIC00501,Jessica,Johnson,36.0,Unknown,554-518-5824,Hands/Feet,Low,Open,No Arrest,2.0,22890.42,yes,Incident at 5328 Elm Blvd. Officer responded at scene.
INC000317,Cybercrime,Southwest,Maplewood,Nc,839 Sunset Blvd,47.743973,61.9776,2023-08-17 13:15:02,OFF0142,Barbara,Scott,2898,SUS00241,Richard,Thompson,61.0,Male,Hispanic,VIC00559,James,Hall,64.0,Female,536-762-5023,Unarmed,Low,Closed,Warning Issued,5.0,36550.83,yes,Incident at 839 Sunset Blvd. Officer responded at scene.
INC003964,Arson,South,Springfield,Ga,4240 Cedar Lane,163.9564,-94.65644,2019-01-06 00:57:12,OFF0150,Patricia,Torres,6755,SUS00018,Joseph,Flores,15.0,Female,Unknown,VIC00946,Robert,Green,46.0,Male,899-764-3953,Knife,Low,Pendng,Dismissed,4.0,891.23,1,Incident at 4240 Cedar Lane. Officer responded at scene.
INC002377,Trespassing,West,Maplewood,Nc,5442 Lincoln St,34.234368,-86.65302,2024-08-31 09:30:47,OFF0075,Linda,Jones,5568,SUS00313,Charles,Anderson,52.0,Female,Hispanic,VIC00457,Jessica,Brown,-28.5,Female,Not Provided,Knife,Medium,Closed,Unknown,2.0,23759.76,No,Incident at 5442 Lincoln St. Officer responded at scene.
INC000950,Assault,Southwest,Springfield,Ny,438 Lincoln St,37.308371,85.9617,2018-09-18 12:05:55,OFF0134,Michael,Wilson,4277,SUS00281,Michael,Jackson,46.0,Male,Black,VIC00541,Carol,Martin,73.0,Male,830-744-5076,Gun,Critical,Under Investigation,Unknown,-3.5,13029.45,1,Incident at 438 Lincoln St. Officer responded at scene.
INC001130,Homicide,North,Centerville,Az,7801 Maple Dr,26.778073,-119.194899,2018-05-24 15:58:33,OFF0053,Jennifer,Garcia,8060,SUS00028,Barbara,Scott,70.0,Male,Asian,VIC00765,Jennifer,Jackson,69.0,Female,744-417-7917,Hands,Unknown,Pending,No Arrest,0.0,40852.02,no,No Notes
INC000482,Drug Offense,South,Hillcrest,Ny,5281 Lincoln St,36.382612,-89.385534,2022-10-05 12:16:39,OFF0118,Richard,Thompson,1113,SUS00384,Mary,Scott,26.0,Male,Unknown,VIC00711,Sarah,Torres,21.0,Female,471-350-1097,Hands/Feet,Critical,Under Investigation,Warning Issued,0.0,30173.5,1,Incident at 5281 Lincoln St. Officer responded at scene.
INC003956,Sexual Assault,Midtown,Lakewood,Ny,5620 Elm Blvd,35.355585,-90.877583,2018-12-03 18:49:17,OFF0057,Ashley,Hill,8927,SUS00497,Anthony,Jackson,66.0,Female,Other,VIC00090,Barbara,Thompson,39.0,Male,377-347-5641,Firearm,Low,Resolved,Arrest Made,2.0,33823.25,NO,No Notes
INC000567,Drug Offense,Midtown,Maplewood,Tx,2799 Washington Ave,47.521741,-104.824812,2024-11-14 06:49:42,OFF0133,Anthony,Flores,2812,SUS00386,Matthew,Lee,26.0,Male,Asian,VIC00211,Patricia,Young,38.0,Female,745-880-2502,Knife,Low,Open,Case Dismissed,4.0,3251.53,YES,Incident at 2799 Washington Ave. Officer responded at scene.
INC002306,Graffiti,Southeast,Riverside,Il,3774 Lincoln St,31.024657,-104.666615,2022-02-11 08:30:08,OFF0128,  Chris  ,Anderson,2414,SUS00223,Chris,Allen,26.0,Female,Unknown,VIC00881,Barbara,Moore,49.0,Unknown,439-356-6312,Hands,Medium,Open,Warning Issued,2.0,23759.76,1,Incident at 3774 Lincoln St. Officer responded at scene.
INC000867,Burglary,North,Oakdale,Nc,1212 Maple Dr,34.82311,-97.225538,2018-07-12 13:26:43,OFF0123,Nancy,Martin,3325,Not Provided,Not Provided,Not Provided,46.0,Unknown,Unknown,Not Provided,Not Provided,Not Provided,49.0,Unknown,Not Provided,Blunt Object,Critical,Pending,Unknown,5.0,28975.86,yes,Incident at 1212 Maple Dr. Officer responded at scene.
INC003546,Theft,Midtown,Centerville,Fl,921 Cedar Lane,42.814437,-88.038978,2023-05-18 06:27:40,OFF0015,David,Scott,1379,SUS00575,Mark,Jones,44.0,Unknown,Unknown,VIC00332,Nancy,Allen,74.0,Female,351-423-8351,Rifle,Unknown,Under Investigation,Warning Issued,2.0,25250.59,NO,Incident at 921 Cedar Lane. Officer responded at scene.
INC000650,Theft,South,Riverside,Ca,3567 Washington Ave,45.744,-117.203431,2018-12-24 18:19:04,OFF0130,  donna  ,Scott,8850,Not Provided,Not Provided,Not Provided,46.0,Unknown,Unknown,VIC00833,Patricia,Davis,36.0,Male,362-123-5079,Hands,Medium,Open,Arres Made,2.0,21492.87,0,No Notes
INC004001,Trespassing,Central,Hillcrest,Ny,7883 Park Rd,26.183893,-116.922163,2024-02-05 17:11:19,OFF0003,William,Taylor,4897,SUS00280,Thomas,Hall,72.0,Male,Hispanic,VIC00993,Richard,Nguyen,19.0,Male,828-228-1575,Hands/Feet,High,Pending,Unknown,4.0,33414.71,True,Incident at 7883 Park Rd. Officer responded at scene.
INC004659,Arson,North,Lakewood,Fl,5915 Main St,25.750817,-98.651542,2022-12-09 13:43:53,OFF0025,jennifer,Young,5567,SUS00514,William,Torres,41.0,Male,White,VIC00812,Charles,Moore,78.0,Male,378-722-4095,Unknown,Medium,Investgation,Unknown,4.0,42965.02,1,Incident at 5915 Main St. Officer responded at scene.
INC002962,Abduction,West,Oakdale,Oh,237 Maple Dr,47.353581,-109.76991,2018-06-15 20:50:57,OFF0059,Carol,Brown,9011,SUS00671,Matthew,Davis,17.0,Male,Asian,VIC00142,Jessica,Nguyen,21.0,Female,5109132226,Unknown,Critical,Unknown,Unknown,5.0,8345.88,1,Incident at 237 Maple Dr. Officer responded at scene.
INC000403,DUI,Midtown,Riverside,Ny,2584 Oak Ave,47.248778,-70.119269,2024-06-20 00:15:36,OFF0147,Joseph,Jones,2002,SUS00708,Michelle,Harris,63.0,Male,Hispanic,VIC00335,Michelle,Martin,-28.5,Male,493-745-7763,Rifle,Medium,Closed,Arres Made,1.0,42957.18,yes,No Notes
INC000529,DUI,North,Fairview,Fl,8485 Maple Dr,36.9671225,-99.823607,2020-01-12 03:48:48,OFF0002,Donna,Thompson,8653,SUS00196,James,Thompson,73.0,Unknown,Hispanic,VIC00129,Anthony,Smith,68.0,Male,429-668-3734,Unarmed,Medium,Closed,Warning,2.0,45992.69,No,No Notes
INC003033,Cybercrime,Northeast,Riverside,Ca,3853 Maple Dr,47.486281,-84.4065,2019-09-27 21:25:33,OFF0100,Linda,Taylor,5319,SUS00768,Carol,White,50.0,Female,Asian,VIC00499,Ashley,Jackson,10.0,Female,682-660-7304,Knife,Low,Open,Arrest Made,2.0,39258.03,Yes,Incident at 3853 Maple Dr. Officer responded at scene.
INC001611,Fraud,Northeast,Riverside,Ca,1869 Cedar Lane,32.361281,-74.194224,2021-10-08 11:52:48,OFF0027,  Joseph  ,Hall,4323,Not Provided,Not Provided,Not Provided,46.0,Unknown,Unknown,VIC00193,Patricia,Green,18.0,Male,716-975-8295,Pistol,Low,Resolved,Case Dismissed,0.0,31832.75,1,Incident at 1869 Cedar Lane. Officer responded at scene.
INC003846,Homicide,Southwest,Lakewood,Nc,5327 Main St,37.225832,-106.451411,2020-07-17 10:10:56,OFF0017,John,Jackson,8968,Not Provided,Not Provided,Not Provided,46.0,Unknown,Unknown,VIC00874,Joseph,Williams,49.0,Female,5515284227,Blunt Object,Critical,Open,No Arrest,1.0,14314.61,Yes,Incident at 5327 Main St. Officer responded at scene.
INC002810,Manslaughter,Northeast,Lakewood,Oh,8729 Sunset Blvd,36.9671225,-115.686993,2020-08-17 09:51:32,OFF0095,Chris,Martin,5581,Not Provided,Not Provided,Not Provided,46.0,Unknown,Unknown,VIC00253,David,Moore,90.0,Female,678-388-7476,Pistol,Critical,Under Investigation,No Arrest,3.0,38587.52,True,Incident at 8729 Sunset Blvd. Officer responded at scene.
INC003225,Robbery,Southwest,Lakewood,Ca,3401 Washington Ave,40.068917,-97.577698,2019-10-29 17:10:36,OFF0113,James,Thomas,3272,SUS00332,Robert,Thompson,22.0,Unknown,Unknown,Not Provided,Not Provided,Not Provided,49.0,Unknown,Not Provided,Unarmed,Low,Unknown,No Arrest,3.0,24950.43,Yes,No Notes
INC001075,Vandalism,East,Fairview,Tx,7867 Maple Dr,47.644934,-83.933901,2022-03-04 10:09:10,OFF0146,Jessica,Davis,2313,Not Provided,Not Provided,Not Provided,46.0,Unknown,Unknown,VIC00704,Michelle,Wright,45.0,Unknown,598-936-2315,Unknown,Low,Unknown,Unknown,2.0,4603.23,1,Incident at 7867 Maple Dr. Officer responded at scene.
INC002803,Vandalism,Northwest,Springfield,Fl,3987 River Rd,35.603016,-74.325311,2023-02-25 05:49:29,OFF0066,Carol,Torres,9588,Not Provided,Not Provided,Not Provided,46.0,Unknown,Unknown,VIC00258,Linda,Anderson,90.0,Male,328-295-4128,Firearm,Low,Closed,Case Dismissed,5.0,18814.07,False,No Notes
INC004842,Sexual Assault,Southwest,Lakewood,Nc,2154 Main St,39.038353,-112.629343,2022-04-18 08:01:12,OFF0042,Mark,Thomas,5567,SUS00580,Karen,Johnson,72.0,Female,White,VIC00979,Linda,Anderson,78.0,Male,384-738-2609,Unarmed,Critical,Closed,Dismissed,5.0,23759.76,1,Incident at 2154 Main St. Officer responded at scene.
INC000028,Fraud,Northeast,Fairview,Fl,1252 Washington Ave,39.564167,68.4369,2019-08-26 10:30:28,OFF0090,Susan,Wright,3419,Not Provided,Not Provided,Not Provided,46.0,Unknown,Unknown,VIC00263,Nancy,Jones,19.0,Other,991-743-9095,Unknown,Medium,Resolved,Arres Made,3.0,34056.67,False,Incident at 1252 Washington Ave. Officer responded at scene.
INC000495,Arson,Central,Centerville,Ca,3975 Maple Dr,26.017491,-94.65644,2021-11-30 22:06:21,OFF0131,Nancy,Jackson,9496,SUS00748,Michael,Taylor,37.0,Unknown,Hispanic,VIC00014,Joseph,Davis,22.0,Male,374-960-4572,Hands/Feet,Medium,Closed,Arrest Made,5.0,2135.4,NO,Incident at 3975 Maple Dr. Officer responded at scene.
INC000788,Burglary,West,Fairview,Il,2062 Washington Ave,39.660225,-87.953205,2024-01-15 01:03:50,OFF0045,susan,Walker,2110,Not Provided,Not Provided,Not Provided,46.0,Unknown,Unknown,VIC00925,Mary,Miller,55.0,Unknown,5079801235,Gun,High,Unknown,Arres Made,2.0,3152.67,yes,Incident at 2062 Washington Ave. Officer responded at scene.
INC001664,Vandalism,South,Oakdale,Tx,912 River Rd,32.954956,-105.691779,2018-10-19 14:21:21,OFF0056,Thomas,Jones,3800,SUS00169,Nancy,Scott,27.0,Female,White,VIC00524,Anthony,Wilson,88.0,Unknown,Not Provided,Pistol,High,Open,Unknown,4.0,27245.81,NO,No Notes
INC001691,Burglary,Southeast,Centerville,Ca,4356 River Rd,31.325604,-86.792666,2023-09-14 21:53:45,OFF0119,John,Flores,6210,SUS00216,Michael,Harris,41.0,Male,Unknown,VIC00115,William,Torres,74.0,Female,9345188511,Hands,Critical,Closed,Warning Issued,0.0,36801.45,yes,Incident at 4356 River Rd. Officer responded at scene.
INC002005,Drug Offense,North,Riverside,Az,7062 Main St,37.726638,-87.455628,2022-01-11 18:42:34,OFF0073,Anthony,Nguyen,7616,SUS00421,Daniel,Brown,46.0,Male,Asian,VIC00025,Donna,Anderson,59.0,Other,8442802406,Knife,Critical,Closed,Arrest Made,3.0,13173.14,yes,Incident at 7062 Main St. Officer responded at scene.
INC003053,DUI,North,Springfield,Ga,463 Cedar Lane,29.529052,-81.066666,2021-05-12 13:40:27,OFF0086,Mark,Jones,3148,SUS00495,Charles,Hill,47.0,Female,Asian,Not Provided,Not Provided,Not Provided,49.0,Unknown,Not Provided,Rifle,Unknown,Resolved,Arrest Made,4.0,46590.53,False,Incident at 463 Cedar Lane. Officer responded at scene.
INC000531,Sexual Assault,Central,Springfield,Az,349 Maple Dr,40.945427,-97.131481,2020-01-26 17:47:08,OFF0108,Mary,Scott,2868,SUS00343,Chris,Young,22.0,Female,White,VIC00039,Patricia,Johnson,18.0,Female,925-948-3480,Unknown,Low,Open,Dismissed,0.0,6727.52,NO,Incident at 349 Maple Dr. Officer responded at scene.
INC002685,Arson,Central,Lakewood,Tx,2165 Park Rd,47.065243,-88.892191,2022-11-08 21:06:58,OFF0065,Patricia,Thompson,9431,SUS00314,Linda,Hall,57.0,Female,Black,VIC00032,Michelle,Young,59.0,Unknown,727-345-9459,Firearm,Unknown,Unknown,Arres Made,0.0,14948.62,yes,Incident at 2165 Park Rd. Officer responded at scene.
INC000439,Drug Offense,Midtown,Maplewood,Pa,1875 Main St,26.399142,-90.716018,2019-11-12 14:32:29,OFF0015,William,Jackson,7691,Not Provided,Not Provided,Not Provided,46.0,Unknown,Unknown,VIC00131,Thomas,Jones,68.0,Female,230-191-3879,Knife,Critical,Under Investigation,Arres Made,5.0,49510.26,Unknown,Incident at 1875 Main St. Officer responded at scene.
INC002346,Assault,Midtown,Riverside,Az,6633 Elm Blvd,40.773951,-88.606454,2024-02-21 07:52:34,OFF0122,Carol,Martin,4007,Not Provided,Not Provided,Not Provided,46.0,Unknown,Unknown,VIC00097,Anthony,Lee,21.0,Unknown,Not Provided,Unknown,Medium,Pendng,Dismissed,2.0,5498.74,YES,Incident at 6633 Elm Blvd. Officer responded at scene.
